bom_id,startdate
14840,2017-07-20 23:30:00
250126,2020-10-25 21:10:00
33294,2017-07-21 02:00:00
250131,2022-03-02 00:20:00
9106,2017-07-21 01:00:00
85301,2017-07-21 01:54:00
24024,2017-07-21 02:00:00
250068,2018-11-15 02:10:00
250074,2017-11-23 00:40:00
505063,2020-12-13 23:30:00
78077,2017-07-20 23:00:00
250117,2021-02-04 01:00:00
29182,2017-07-21 02:00:00
84150,2017-07-20 23:00:00
32025,2017-07-20 23:00:00
79101,2017-07-21 01:54:00
14404,2017-07-21 02:00:00
14517,2017-07-21 02:00:00
46129,2017-07-21 02:00:00
61428,2017-07-21 02:00:00
33045,2017-07-21 02:00:00
29141,2017-07-21 02:00:00
250139,2022-12-20 02:50:00
10524,2017-07-21 01:00:00
64017,2017-07-21 02:00:00
23804,2017-07-20 23:30:00
61412,2017-07-21 02:00:00
14825,2017-07-21 02:00:00
300012,2017-08-03 01:30:00
82076,2017-07-20 23:00:00
90035,2017-07-21 01:54:00
250053,2018-11-07 02:20:00
32194,2017-07-21 02:00:00
15511,2017-07-20 23:30:00
9037,2017-07-21 02:00:00
75039,2020-07-08 23:00:00
72160,2017-07-21 02:00:00
61375,2017-07-21 02:00:00
13044,2017-11-20 00:30:00
9114,2017-07-21 01:00:00
300046,2017-07-21 00:00:00
67108,2017-07-21 02:00:00
16098,2017-07-21 02:00:00
31222,2017-07-21 02:00:00
75041,2017-07-21 02:00:00
7139,2017-07-21 01:00:00
69134,2017-07-20 23:00:00
88023,2017-07-20 23:00:00
12009,2017-07-21 02:00:00
40958,2017-07-21 02:00:00
91107,2017-07-21 02:00:00
92120,2017-07-21 02:00:00
250056,2018-11-07 23:20:00
989512,2017-07-21 00:00:00
41529,2017-07-21 02:00:00
60085,2017-07-20 23:00:00
90182,2017-07-21 01:54:00
86376,2017-07-21 01:54:00
79028,2017-07-21 01:54:00
9204,2017-07-21 02:00:00
40082,2017-07-21 02:00:00
91284,2017-07-20 23:00:00
9280,2018-10-22 03:30:00
32141,2017-07-21 02:00:00
35069,2017-07-20 23:00:00
250114,2020-12-13 22:50:00
9542,2017-07-21 02:00:00
91237,2017-07-21 02:00:00
250123,2020-10-25 21:10:00
250128,2021-11-04 22:20:00
13011,2017-07-21 02:00:00
14627,2017-07-21 02:00:00
3108,2018-11-07 02:30:00
85280,2017-07-21 01:54:00
250058,2017-08-15 04:30:00
97024,2017-07-21 02:00:00
989664,2017-07-21 00:00:00
40908,2017-07-21 02:00:00
73138,2017-07-21 02:00:00
56032,2017-08-02 23:00:00
37059,2017-07-21 02:00:00
94201,2017-07-20 23:00:00
25507,2017-07-20 23:30:00
66197,2017-07-21 02:00:00
78015,2017-07-21 01:54:00
12090,2017-07-20 01:00:00
200701,2017-07-21 02:00:00
14723,2017-07-21 02:00:00
40764,2017-07-21 02:00:00
74106,2017-07-20 23:00:00
32040,2017-07-21 02:00:00
23013,2017-07-21 02:00:00
98017,2017-07-21 02:00:00
18217,2017-07-21 02:00:00
46128,2017-07-21 02:00:00
23878,2017-07-21 02:00:00
88164,2017-07-21 01:54:00
90176,2017-07-21 01:54:00
66212,2017-07-21 02:00:00
597046,2017-08-03 06:00:00
504066,2021-10-19 00:20:00
200879,2017-07-21 02:00:00
15652,2017-07-20 23:30:00
250059,2017-09-08 11:00:00
4032,2017-07-21 02:00:00
140010,2018-03-26 07:20:00
10058,2017-07-21 01:00:00
51039,2017-07-20 23:00:00
91223,2017-08-02 23:00:00
37036,2017-07-21 02:00:00
250119,2021-02-04 01:00:00
94195,2017-07-21 02:00:00
56018,2017-07-21 02:00:00
12038,2017-07-21 02:00:00
18229,2017-12-13 02:20:00
44010,2017-07-20 23:00:00
20028,2017-07-20 23:30:00
4106,2017-07-21 02:00:00
58158,2017-07-20 23:00:00
250108,2020-02-06 03:40:00
86375,2017-07-20 23:00:00
74148,2017-07-21 02:00:00
23842,2017-07-21 02:00:00
9193,2017-07-21 02:00:00
61390,2017-07-20 23:00:00
250044,2018-09-10 01:30:00
14954,2017-07-21 02:00:00
300050,2017-10-02 02:30:00
300060,2017-07-20 08:00:00
250031,2018-03-28 06:20:00
82169,2017-08-05 23:00:00
9573,2017-07-21 02:00:00
10917,2017-07-21 02:00:00
61054,2017-07-20 23:00:00
25006,2017-07-20 23:30:00
61051,2017-07-19 23:00:00
40405,2017-07-21 02:00:00
83090,2017-07-21 01:54:00
75019,2017-07-21 02:00:00
250045,2018-04-11 04:20:00
21131,2017-07-21 02:00:00
81124,2017-07-21 01:54:00
91375,2022-12-15 00:30:00
93053,2017-07-20 23:00:00
250094,2019-01-07 05:40:00
19017,2017-07-20 23:30:00
31011,2017-07-21 02:00:00
200283,2017-07-21 02:00:00
79100,2017-07-21 01:54:00
61431,2019-11-19 22:00:00
49002,2017-07-20 23:00:00
503621,2020-12-13 23:30:00
67113,2017-07-21 02:00:00
505060,2017-07-21 02:00:00
200704,2017-07-21 02:00:00
91292,2017-07-20 20:30:00
69139,2017-07-21 02:00:00
10073,2017-08-11 01:00:00
82139,2017-07-21 01:54:00
250027,2018-03-28 06:10:00
6011,2017-07-21 02:00:00
5098,2018-09-18 01:50:00
81123,2017-07-21 01:54:00
70217,2017-07-21 02:00:00
94155,2017-07-21 02:00:00
61078,2017-07-21 02:00:00
37034,2017-07-21 02:00:00
35264,2017-07-21 02:00:00
70328,2017-07-21 02:00:00
250064,2019-01-21 23:10:00
84145,2017-07-21 01:54:00
27058,2017-07-21 02:00:00
37058,2018-07-23 00:50:00
9746,2017-07-21 02:00:00
48243,2017-07-20 23:00:00
40983,2017-07-21 02:00:00
63291,2017-07-21 02:00:00
43020,2017-07-20 23:00:00
25562,2017-07-21 02:00:00
14401,2017-07-21 02:00:00
14405,2017-07-21 02:00:00
32078,2017-07-20 23:00:00
200735,2017-07-21 02:00:00
9500,2017-07-21 01:00:00
66022,2017-07-21 02:00:00
48245,2017-07-21 02:00:00
58216,2017-07-21 02:00:00
33195,2017-07-21 02:00:00
69018,2017-07-20 23:00:00
14308,2017-07-21 02:00:00
26105,2017-07-21 02:00:00
69148,2017-07-21 02:00:00
70263,2017-07-20 23:00:00
9994,2017-07-21 02:00:00
46126,2017-07-21 02:00:00
12305,2017-07-21 02:00:00
90175,2017-07-21 01:54:00
67119,2017-07-21 02:00:00
89085,2017-07-20 23:00:00
250025,2018-05-08 06:50:00
26091,2017-07-21 02:00:00
68241,2017-07-21 02:00:00
63308,2017-12-13 02:20:00
200732,2017-07-21 02:00:00
95048,2017-07-21 02:00:00
61363,2017-07-21 02:00:00
14983,2017-10-02 00:40:00
18116,2017-07-21 02:00:00
505064,2021-04-14 23:20:00
72161,2017-07-21 02:00:00
94254,2017-07-21 02:00:00
68253,2017-07-21 02:00:00
50017,2017-07-21 02:00:00
79105,2017-07-21 01:54:00
26100,2017-07-21 02:00:00
55202,2017-07-21 02:00:00
87168,2017-07-21 01:54:00
503016,2017-07-21 02:00:00
8137,2017-07-21 01:00:00
84142,2017-07-21 01:54:00
40126,2017-07-21 02:00:00
9871,2017-07-19 01:00:00
35065,2017-07-20 23:00:00
14309,2017-07-21 02:00:00
29181,2017-07-21 02:00:00
55325,2017-07-21 02:00:00
250110,2021-03-11 23:50:00
10286,2017-07-21 02:00:00
92027,2017-07-20 23:00:00
505056,2017-07-21 02:00:00
86338,2017-07-21 01:54:00
9937,2017-07-21 02:00:00
60168,2020-10-14 22:00:00
300004,2017-07-21 02:00:00
45025,2017-07-21 02:00:00
16067,2017-07-20 23:30:00
15594,2017-07-20 23:30:00
88167,2018-11-07 10:50:00
92133,2017-07-21 02:00:00
250089,2019-01-20 20:40:00
250036,2017-11-27 02:10:00
23122,2017-07-21 02:00:00
52020,2017-07-20 23:00:00
300033,2018-01-22 10:00:00
65111,2017-07-21 02:00:00
85313,2017-07-21 01:54:00
9172,2017-07-21 02:00:00
97000,2017-07-21 02:00:00
250060,2017-10-11 05:30:00
97085,2017-07-21 02:00:00
250109,2021-10-19 00:20:00
4100,2017-07-21 02:00:00
12241,2017-07-21 02:00:00
68151,2017-07-21 02:00:00
65034,2017-07-20 23:00:00
65070,2017-07-21 02:00:00
23733,2017-07-20 23:30:00
14909,2017-07-21 02:00:00
94220,2017-07-21 02:00:00
